# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2023-01-02T00:00:00.0
# Latitude (positive North, ISO 19115): 52.5162
# Longitude (positive East, ISO 19115): 13.3777
# Altitude (m): 36.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2023-10-18
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-01T00:00:00.0/2022-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-01T01:00:00.0/2022-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-01T02:00:00.0/2022-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-01T03:00:00.0/2022-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-01T04:00:00.0/2022-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-01T05:00:00.0/2022-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-01T06:00:00.0/2022-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-01T07:00:00.0/2022-01-01T08:00:00.0;29.2275;9.2902;1.5940;7.6962;30.8298;6.6088;0.0057;6.6031;0.1093;0.7083
2022-01-01T08:00:00.0/2022-01-01T09:00:00.0;166.0992;77.0197;31.4774;45.5424;252.3821;50.2188;0.0604;50.1584;0.5416;0.8417
2022-01-01T09:00:00.0/2022-01-01T10:00:00.0;276.4304;153.0365;81.5572;71.4793;412.4469;93.2324;19.7250;73.5074;90.5346;1.0000
2022-01-01T10:00:00.0/2022-01-01T11:00:00.0;338.2244;199.6346;116.4172;83.2174;484.2252;66.0403;9.6733;56.3671;42.1163;1.0000
2022-01-01T11:00:00.0/2022-01-01T12:00:00.0;347.2733;206.1630;121.5264;84.6366;492.5559;71.3327;2.1043;69.2284;8.4632;1.0000
2022-01-01T12:00:00.0/2022-01-01T13:00:00.0;302.9618;172.5883;97.6347;74.9536;452.4625;92.8455;1.9907;90.8548;9.4859;1.0000
2022-01-01T13:00:00.0/2022-01-01T14:00:00.0;208.3101;105.4314;51.9420;53.4894;343.2693;56.0934;0.5779;55.5155;3.6396;1.0000
2022-01-01T14:00:00.0/2022-01-01T15:00:00.0;70.1584;26.3760;8.0006;18.3754;106.8395;22.9784;1.0731;21.9053;15.1401;0.7000
2022-01-01T15:00:00.0/2022-01-01T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-01T16:00:00.0/2022-01-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-01T17:00:00.0/2022-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-01T18:00:00.0/2022-01-01T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-01T19:00:00.0/2022-01-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-01T20:00:00.0/2022-01-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-01T21:00:00.0/2022-01-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-01T22:00:00.0/2022-01-01T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-01T23:00:00.0/2022-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-02T00:00:00.0/2022-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-02T01:00:00.0/2022-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-02T02:00:00.0/2022-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-02T03:00:00.0/2022-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-02T04:00:00.0/2022-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-02T05:00:00.0/2022-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-02T06:00:00.0/2022-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-02T07:00:00.0/2022-01-02T08:00:00.0;29.5766;9.9120;2.7511;7.1609;53.4945;1.2928;0.0000;1.2928;0.0000;0.7083
2022-01-02T08:00:00.0/2022-01-02T09:00:00.0;167.0151;81.7229;45.0534;36.6695;362.3473;31.5281;0.0276;31.5005;0.1745;0.8417
2022-01-02T09:00:00.0/2022-01-02T10:00:00.0;277.7822;159.9493;106.2475;53.7017;535.8262;84.9544;1.0598;83.8945;5.5919;1.0000
2022-01-02T10:00:00.0/2022-01-02T11:00:00.0;340.0263;207.0857;144.4874;62.5982;597.9617;80.4314;1.8712;78.5602;7.9866;1.0000
2022-01-02T11:00:00.0/2022-01-02T12:00:00.0;349.5088;214.0415;148.9432;65.0983;599.8347;32.3089;0.0000;32.3089;0.0000;1.0000
2022-01-02T12:00:00.0/2022-01-02T13:00:00.0;305.5854;178.5148;116.0088;62.5060;532.2997;16.5171;0.0000;16.5171;0.0000;1.0000
2022-01-02T13:00:00.0/2022-01-02T14:00:00.0;211.2498;107.7110;58.0682;49.6428;377.3300;27.0477;0.0089;27.0388;0.0569;1.0000
2022-01-02T14:00:00.0/2022-01-02T15:00:00.0;73.1231;27.1170;8.5555;18.5615;111.2249;3.6803;0.0000;3.6803;0.0000;0.6833
2022-01-02T15:00:00.0/2022-01-02T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-02T16:00:00.0/2022-01-02T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-02T17:00:00.0/2022-01-02T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-02T18:00:00.0/2022-01-02T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-02T19:00:00.0/2022-01-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-02T20:00:00.0/2022-01-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-02T21:00:00.0/2022-01-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-01-02T22:00:00.0/2022-01-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
