# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);52.516
# Site longitude (positive means East);13.378
# Site altitude (m);49
# Date beginning;2022-01-01
# Date end;2023-01-01
# Time reference (hour);UT
# Summarization (period of integration);Hour (h)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2022-01-01;01:00;283.73;93.71;1010.52;7.79;276.68;0.063691;0.000000;0.000402;0.0000
2022-01-01;02:00;283.77;93.82;1011.12;7.69;275.27;0.049680;0.000000;0.000352;0.0000
2022-01-01;03:00;283.83;93.80;1011.68;7.57;275.44;0.074056;0.000000;0.000299;0.0000
2022-01-01;04:00;283.81;94.02;1012.17;7.36;277.44;0.079347;0.000000;0.000268;0.0000
2022-01-01;05:00;283.73;94.30;1012.53;6.87;278.22;0.064188;0.000000;0.000243;0.0000
2022-01-01;06:00;283.57;94.62;1012.93;6.27;276.87;0.031367;0.000000;0.000222;0.0000
2022-01-01;07:00;283.30;95.03;1013.44;5.97;273.17;0.022670;0.000000;0.000205;0.0000
2022-01-01;08:00;283.14;94.79;1014.11;6.52;273.10;0.022019;0.000000;0.000189;6.7146
2022-01-01;09:00;283.28;93.97;1014.76;6.82;274.14;0.011559;0.000000;0.000173;57.9128
2022-01-01;10:00;283.77;92.32;1015.42;6.79;277.11;0.008044;0.000000;0.000157;96.7472
