# Coding: utf-8;;;;;;;;;;
# File format version: 2;;;;;;;;;;
# Title: CAMS Radiation Service v3.2 all-sky irradiation (derived from satellite data).;;;;;;;;;;
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.;;;;;;;;;;
# The research leading to these results has received funding from the European Union within the Copernicus programme.;;;;;;;;;;
# Provider: MINES ParisTech (France);;;;;;;;;;
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service;;;;;;;;;;
# Date begin (ISO 8601): 2019-01-01T00:00:00.0;;;;;;;;;;
# Date end (ISO 8601): 2020-01-01T00:00:00.0;;;;;;;;;;
# Latitude (positive North, ISO 19115): 52.5210;;;;;;;;;;
# Longitude (positive East, ISO 19115): 13.3929;;;;;;;;;;
# Altitude (m): 36.00;;;;;;;;;;
# Time reference: Universal time (UT);;;;;;;;;;
#;;;;;;;;;;
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11);;;;;;;;;;
# CF Standard Names registry of ObservablePropertyValue;;;;;;;;;;
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html;;;;;;;;;;
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6;;;;;;;;;;
# ObservableProperty;;;;;;;;;;
# StatisticalMeasure;;;;;;;;;;
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s;;;;;;;;;;
# noValue: nan;;;;;;;;;;
# File generated on: 2020-09-21;;;;;;;;;;
#;;;;;;;;;;
# Columns:;;;;;;;;;;
# 1. Observation period (ISO 8601);;;;;;;;;;
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2);;;;;;;;;;
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2);;;;;;;;;;
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2);;;;;;;;;;
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2);;;;;;;;;;
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2);;;;;;;;;;
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2);;;;;;;;;;
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2);;;;;;;;;;
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2);;;;;;;;;;
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2);;;;;;;;;;
#11. Reliability. Proportion of reliable data in the summarization (0-1);;;;;;;;;;
#;;;;;;;;;;
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2019-01-01T00:00:00.0/2019-01-01T01:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T01:00:00.0/2019-01-01T02:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T02:00:00.0/2019-01-01T03:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T03:00:00.0/2019-01-01T04:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T04:00:00.0/2019-01-01T05:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T05:00:00.0/2019-01-01T06:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T06:00:00.0/2019-01-01T07:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T07:00:00.0/2019-01-01T08:00:00.0;29.1958;10.8691;4.3139;6.5552;86.4764;6.1335;1.5964;4.5371;39.6396;0.85
2019-01-01T08:00:00.0/2019-01-01T09:00:00.0;165.9281;88.5822;57.0117;31.5705;465.8353;13.3476;0;15.0881;0;1
2019-01-01T09:00:00.0/2019-01-01T10:00:00.0;276.1;169.5625;119.5195;50.043;608.2792;34.5239;0.0006;42.2278;0.0037;1
2019-01-01T10:00:00.0/2019-01-01T11:00:00.0;337.731;216.9259;149.8661;67.0598;624.7771;90.2847;18.3298;75.3347;74.7752;1
2019-01-01T11:00:00.0/2019-01-01T12:00:00.0;346.6238;222.6922;144.7221;77.9701;587.4921;104.3364;18.3619;85.9744;75.4043;1
2019-01-01T12:00:00.0/2019-01-01T13:00:00.0;302.1741;184.7004;105.8284;78.872;490.4955;91.7438;10.1406;81.6031;47.7256;1
2019-01-01T13:00:00.0/2019-01-01T14:00:00.0;207.4113;109.7741;47.5022;62.2719;311.3018;50.8741;0.5952;50.2789;3.5944;1
2019-01-01T14:00:00.0/2019-01-01T15:00:00.0;69.2663;26.1457;4.8075;21.3382;60.0353;22.0169;0.8942;21.1227;14.5005;0.9
2019-01-01T15:00:00.0/2019-01-01T16:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T16:00:00.0/2019-01-01T17:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T17:00:00.0/2019-01-01T18:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T18:00:00.0/2019-01-01T19:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T19:00:00.0/2019-01-01T20:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T20:00:00.0/2019-01-01T21:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T21:00:00.0/2019-01-01T22:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T22:00:00.0/2019-01-01T23:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T23:00:00.0/2019-01-02T00:00:00.0;0;0;0;0;0;0;0;0;0;1
